matchId,teamId,side,win,firstBlood,firstTower,firstInhibitor,firstDragon,firstBaron,firstHerald,championKills,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
BR1_2858016931,100,blue,False,False,False,False,False,False,True,15,3,0,0,0,1
BR1_2858016931,200,red,True,True,True,True,True,True,False,24,11,4,2,4,1
BR1_2859615220,100,blue,False,True,False,False,False,False,False,16,4,0,0,0,1
BR1_2859615220,200,red,True,False,True,True,True,True,True,26,11,2,1,4,1
BR1_2860111945,100,blue,True,False,True,True,True,False,True,27,7,1,1,2,2
BR1_2860111945,200,red,False,True,False,False,False,True,False,27,1,0,0,2,0
BR1_2863609880,100,blue,True,False,False,True,True,True,True,36,6,1,2,3,2
BR1_2863609880,200,red,False,True,True,False,False,False,False,27,5,0,0,1,0
BR1_2861965268,100,blue,False,False,True,False,True,False,True,34,4,0,1,0,2
BR1_2861965268,200,red,True,True,False,True,False,True,False,36,7,1,1,4,0
BR1_2863256178,100,blue,True,False,False,True,True,True,False,44,11,2,1,2,0
BR1_2863256178,200,red,False,True,True,False,False,False,True,20,4,0,0,1,2
BR1_2860527786,100,blue,False,True,True,False,False,True,True,19,4,0,0,3,2
BR1_2860527786,200,red,True,False,False,True,True,False,False,37,11,2,1,1,0
BR1_2862089770,100,blue,True,True,False,True,True,True,False,31,10,4,2,4,1
BR1_2862089770,200,red,False,False,True,False,False,False,True,16,6,0,0,2,1
BR1_2865019750,100,blue,False,True,False,False,False,False,False,31,2,0,0,0,1
BR1_2865019750,200,red,True,False,True,True,True,True,True,36,9,1,1,3,1
BR1_2862117985,100,blue,True,True,True,False,False,True,False,22,3,0,0,2,1
BR1_2862117985,200,red,False,False,False,False,False,False,True,6,2,0,0,0,1
BR1_2859757283,100,blue,True,True,False,False,True,True,True,37,8,1,3,4,2
BR1_2859757283,200,red,False,False,True,True,False,False,False,25,10,3,0,1,0
BR1_2865483383,100,blue,False,True,False,False,False,True,False,19,3,0,0,2,1
BR1_2865483383,200,red,True,False,True,True,True,False,True,33,11,2,2,2,1
BR1_2859233119,100,blue,True,True,True,True,True,False,True,32,9,1,1,2,2
BR1_2859233119,200,red,False,False,False,False,False,True,False,14,2,0,0,1,0
BR1_2863570307,100,blue,False,True,False,False,False,True,False,27,1,0,0,1,0
BR1_2863570307,200,red,True,False,True,True,True,False,True,45,11,3,1,2,2
