matchId,teamId,ban1,ban2,ban3,ban4,ban5
BR1_2860564392,200,81,233,99,107,777
BR1_2862269156,100,24,107,246,200,30
BR1_2862269156,200,203,38,22,77,54
BR1_2854664253,100,107,22,427,114,157
BR1_2854664253,200,29,-1,266,7,-1
BR1_2864498986,100,30,107,141,22,-1
BR1_2864498986,200,33,555,55,200,122
BR1_2863275748,100,81,15,84,497,-1
BR1_2863275748,200,77,24,517,58,777
BR1_2862709197,100,166,11,24,114,141
BR1_2862709197,200,200,78,38,107,77
BR1_2861384301,100,360,107,54,22,-1
BR1_2861384301,200,145,11,7,111,53
BR1_2862218715,100,114,107,157,39,33
BR1_2862218715,200,24,16,99,497,157
BR1_2858661995,100,107,134,-1,24,67
BR1_2858661995,200,11,222,33,200,111
BR1_2864207055,100,107,30,7,420,233
BR1_2864207055,200,200,24,81,777,110
BR1_2864400908,100,110,200,40,38,24
BR1_2864400908,200,64,30,910,-1,-1
BR1_2857932212,100,79,85,53,777,107
BR1_2857932212,200,-1,84,39,22,497
BR1_2857959209,100,777,7,141,910,526
BR1_2857959209,200,8,24,555,110,59
BR1_2857893342,100,200,35,24,28,777
BR1_2857893342,200,-1,200,238,67,-1
BR1_2858754568,100,114,11,910,24,107
BR1_2858754568,200,555,-1,11,498,85
BR1_2860006871,100,200,38,-1,55,30
BR1_2860006871,200,61,555,126,54,236
BR1_2862245406,100,350,875,157,427,22
BR1_2862245406,200,240,166,23,39,11
BR1_2855318145,100,28,235,141,200,110
BR1_2855318145,200,145,-1,30,777,-1
BR1_2860991105,100,54,145,131,24,-1
BR1_2860991105,200,-1,107,134,902,200
BR1_2865482549,100,266,2,64,29,114
BR1_2865482549,200,9,233,107,81,92
BR1_2865508690,100,117,12,111,24,-1
BR1_2865508690,200,777,64,-1,157,92
BR1_2863860644,100,81,25,11,157,54
BR1_2863860644,200,555,12,107,-1,157
BR1_2863437923,100,11,235,16,81,30
BR1_2863437923,200,145,64,27,24,53
BR1_2861944888,100,111,24,38,235,121
BR1_2861944888,200,14,58,555,497,22
BR1_2859603672,100,11,-1,110,111,114
BR1_2859603672,200,246,-1,122,39,412
BR1_2865068222,100,54,16,777,157,-1
BR1_2865068222,200,-1,68,84,555,235
BR1_2862871422,100,16,28,555,24,238
BR1_2862871422,200,24,91,77,910,777
BR1_2862053662,100,517,498,133,163,59
BR1_2862053662,200,9,-1,122,141,497
BR1_2860219580,100,35,-1,163,84,68
BR1_2860219580,200,111,39,22,121,-1
BR1_2863249244,100,107,81,104,7,68
BR1_2863249244,200,11,200,555,22,38
BR1_2860237960,100,55,-1,33,58,8
BR1_2860237960,200,-1,157,-1,55,63
BR1_2860339444,100,110,910,555,16,107
BR1_2860339444,200,107,9,64,104,22
BR1_2857873957,100,-1,897,107,85,67
BR1_2857873957,200,145,11,64,16,114
BR1_2857402414,100,111,24,141,107,11
BR1_2857402414,200,-1,145,81,61,163
BR1_2863406752,100,203,-1,55,22,25
BR1_2863406752,200,141,30,114,233,11
BR1_2860078751,100,30,-1,15,-1,910
BR1_2860078751,200,29,141,910,-1,38
BR1_2858249279,100,54,555,107,114,59
BR1_2858249279,200,-1,-1,54,61,145
BR1_2863313977,100,33,55,555,238,24
BR1_2863313977,200,107,145,22,24,84
BR1_2865210455,100,11,38,24,555,235
BR1_2865210455,200,29,22,64,11,30
BR1_2859556117,100,-1,33,238,145,107
BR1_2859556117,200,110,38,25,238,-1
BR1_2860944230,100,7,48,30,38,122
BR1_2860944230,200,-1,145,107,498,54
BR1_2862333889,100,141,157,240,555,897
BR1_2862333889,200,200,81,77,-1,58
BR1_2864900663,100,30,38,18,-1,266
BR1_2864900663,200,61,24,51,104,25
BR1_2862609262,100,-1,11,104,121,145
BR1_2862609262,200,157,53,111,24,107
BR1_2859538458,100,33,107,-1,28,157
BR1_2859538458,200,35,238,64,777,99
BR1_2861801854,100,30,107,910,38,111
BR1_2861801854,200,12,54,63,-1,910
BR1_2860283324,100,200,39,910,238,33
BR1_2860283324,200,107,-1,122,11,238
BR1_2860378458,100,910,28,2,141,67
BR1_2860378458,200,78,40,64,163,-1
BR1_2862699704,100,145,104,497,127,266
BR1_2862699704,200,24,429,777,157,11
BR1_2857427855,100,30,40,56,11,58
BR1_2857427855,200,24,157,11,-1,526
BR1_2865134450,100,35,78,92,51,107
BR1_2865134450,200,-1,28,518,22,157
BR1_2863235212,100,200,245,35,56,11
BR1_2863235212,200,51,145,7,-1,107
BR1_2862239761,100,897,-1,90,157,99
BR1_2862239761,200,910,28,777,157,107
BR1_2862137742,100,238,203,110,38,777
BR1_2862137742,200,555,64,84,777,350
BR1_2859525186,100,24,25,157,7,35
BR1_2859525186,200,-1,233,497,58,910
BR1_2860962704,100,11,38,24,51,43
BR1_2860962704,200,235,107,54,28,238
BR1_2864820873,100,22,33,80,166,777
BR1_2864820873,200,64,777,30,555,24
BR1_2860930099,100,122,-1,107,55,-1
BR1_2860930099,200,121,141,555,235,107
BR1_2862528660,100,200,107,777,143,-1
BR1_2862528660,200,81,68,777,141,895
BR1_2854997098,100,55,245,-1,200,429
BR1_2854997098,200,111,30,64,11,107
BR1_2858187695,100,497,81,777,350,11
BR1_2858187695,200,9,107,777,122,233
BR1_2859526063,100,517,910,64,114,-1
BR1_2859526063,200,24,85,30,200,107
BR1_2863887747,100,33,92,30,16,107
BR1_2863887747,200,8,28,92,24,55
BR1_2862180355,100,63,163,497,84,54
BR1_2862180355,200,9,11,16,-1,555
BR1_2864851625,100,29,23,11,246,101
BR1_2864851625,200,111,64,30,122,-1
BR1_2863212684,100,80,7,-1,200,895
BR1_2863212684,200,141,39,56,555,107
BR1_2862052248,100,119,777,51,61,85
BR1_2862052248,200,107,517,38,104,68
BR1_2859192608,100,141,246,24,-1,35
BR1_2859192608,200,-1,111,7,55,24
BR1_2862597998,100,38,-1,119,11,24
BR1_2862597998,200,35,85,141,24,107
BR1_2858892552,100,61,11,107,122,902
BR1_2858892552,200,61,-1,22,39,236
BR1_2865460274,100,245,200,91,117,24
BR1_2865460274,200,22,266,555,84,-1
BR1_2862202727,100,11,360,235,38,80
BR1_2862202727,200,24,-1,141,77,111
BR1_2857294619,100,33,24,105,22,107
BR1_2857294619,200,30,81,38,24,111
BR1_2865470236,100,104,84,200,28,121
BR1_2865470236,200,11,517,420,91,81
BR1_2862873992,100,55,107,22,526,24
BR1_2862873992,200,64,266,24,119,157
BR1_2860432559,100,497,38,-1,200,238
BR1_2860432559,200,238,897,12,25,92
BR1_2861405850,100,58,777,7,246,-1
BR1_2861405850,200,119,107,41,777,-1
BR1_2859548544,100,432,145,106,-1,238
BR1_2859548544,200,56,266,910,38,119
BR1_2864634569,100,39,104,238,24,30
BR1_2864634569,200,85,429,84,555,11
BR1_2863578817,100,141,526,11,54,91
BR1_2863578817,200,777,555,114,107,55
BR1_2862021929,100,114,895,63,24,55
BR1_2862021929,200,777,-1,23,141,28
BR1_2860363617,100,24,51,122,200,157
BR1_2860363617,200,9,107,30,58,235
BR1_2861278799,100,266,107,43,236,33
BR1_2861278799,200,141,24,38,910,33
BR1_2865476913,100,897,238,141,-1,-1
BR1_2865476913,200,64,33,24,163,28
BR1_2857282751,100,59,246,55,58,-1
BR1_2857282751,200,555,777,53,266,107
BR1_2859494716,100,67,233,266,25,-1
BR1_2859494716,200,141,23,119,25,142
BR1_2863862802,100,107,246,-1,164,38
BR1_2863862802,200,-1,22,238,58,11
BR1_2858809374,100,412,22,64,84,517
BR1_2858809374,200,30,24,56,11,526
BR1_2862663745,100,238,266,950,81,233
BR1_2862663745,200,111,110,77,238,11
BR1_2865160052,100,157,11,120,145,517
BR1_2865160052,200,-1,526,166,-1,119
BR1_2861637349,100,61,25,107,126,22
BR1_2861637349,200,11,15,107,38,910
BR1_2855712864,100,33,517,910,11,58
BR1_2855712864,200,92,145,-1,107,104
BR1_2864917878,100,39,141,38,-1,266
BR1_2864917878,200,33,24,111,7,238
BR1_2864780203,100,33,360,64,420,517
BR1_2864780203,200,7,141,99,110,-1
BR1_2864524219,100,22,55,33,28,555
BR1_2864524219,200,777,145,30,63,420
BR1_2862067177,100,526,777,238,51,114
BR1_2862067177,200,120,526,119,114,11
BR1_2863193229,100,200,111,157,114,11
BR1_2863193229,200,11,555,78,107,141
BR1_2864807035,100,887,111,25,145,11
BR1_2864807035,200,64,58,200,497,555
BR1_2864493600,100,111,28,200,33,246
