puuid,summonerId,summonerName,riotIdGameName,riotIdTagline
ppWog77wfBAstyJm3sRTheTCA0d8NO64SWvUZMNLkq_RkOHwDL5FvGGiM97gA9umiFS04AxpqpiZkg,AgHWAdVrIRRJC_Xy-G2M1gNbGj-BjeR8PfXmbUu0FkbYbg,Cablui,cablui,2001
51u3w3TP1Xs5L8AOlQd2nzxFjc9FwI8UQZQymLddDtJkBY6EXTMQErBXSch5M9o7S0ppC_a2sDd4YQ,31Jilsx1Kc_pFk5FiVIChd2aFSk1ek1eYuBbxcYWbBge,Zulake,Zulake,joji
9fUpqQa7zeY1XsA73HYEfzYZb9OjkF0gxIxjgKOQpByml__StG4aHJb156iNRU5V02W8GRZKV9mMvw,ZANTQfrFAUE4CGgxO-We9J9vUAggLYogG2lcWxl7Z14npWg,Viniscar,Viniscar,BR1
3rm8bgqQL_lPOqZj7_tIdP18EJBjKIKoZ_sf_Wg35M6SUuL9EJvGzZf7E0kvGF0h6d6fttpkQg7blQ,ngPJMy0CRJp4Q053hli_qXPaSs8Cn3TajQcDtpZS8eOJtLI462oOfC0woQ,Hoben,Hoben,BR1
NybCVZhtHDMw_EanDd9En_-4x7PoPOVQjCd1CnFzFghsXhsjf7XiAk7LGbaRVoKAaCTFWUNoei2L1Q,qX1by118cUxaKaIF_vbtJ8c6JtmB9hzUtLHfvYptGW-rBog,The Life Snakee,The Life Snake,Cass
RoI8wtG1tSZh3gZqGKmoYSgOL5bBNS47L-lzPzP9zUC8EmTFWSRtcJpps5giW4yRNfWtk5UCwUjiYA,PZH-ENRVFKliNcLWyPGpMiJnwYvDqnaAUGxlGnEZ6g_UzQ,Viper III,Viper,JDG1
VL6FhbpQ3h4gQMSOw7-emzhX4yIFzNXiKOOUZPjSyT2kx-eaEe-zbxRL83T4Ita1BvqiA-r_OHtocg,YGIQ4pzdTMOWwHffu8PfD9F_89VMmvIk-hN4gzwfvGWgEtI,RESA DINO DE GV,RESA DINO DE GV,BR1
dulbBFI4p7qhQJNpBOmQ8vbZW3H6-tw3aF121cHFp2Fsayw0ir18CMQ5JAgf1ppz0Ac5icw7ISb0zg,VzYCmNo8brjxWP5_jFe_Y-LhbuUbAtguBspfx2OjnMZfBDU,R estre,R estre,BR1
hmOCOe7i-9hJZlTFkm6TbMI9hMQKcRbWzMmBfbLY4niTK8_sNq6EzE1EsRUHqoSEdLObqDupFp_Z9w,j8_boaHBMwcDi87qCGgDuuet-QNGJgSc2HJsqT6TNGsHTw,65983214756,Yatsu,akasa
Dne3hNIGWmBhOqGfSNGsDbzDNoRujTEUo4CWrF11QhqLZKlc8pKKCWdmT_5cXRfBlZsds3W2JHtRjg,9CsoBMITbxWAkdmAGDGsKZKcEMTi67JpQ6EkAM3pZGy2PRk,Remorsos,Fear,zzzz
lcr2GH9KXKKBXg7GW1GYzFA-A_MhkhXdft2Kq-_xAv_P3Jl7kMerexVnXpaE5oU1AUkzEfVdWlZj1g,hNrD8yVZ-zptEO_wrRnhqGT1DM_a2sraZzZOb_-p67aej2s,Álanzinho,Álanzinho,itach
ElKkPPuGpF_B5NCvTr4UCpr73QdE_tgrlfQ5O02q7bNUkAEYGBra1kq7ymMJGrIrmHEGOh4tAKX5JA,-tFWoOqYhIfgVQimpANxSEHP0H_XDP_ewO1aFPsF-rGbow,Hebaal,Hebaal,BR1
i1CQJmjRqT_N_OiqDImq_5rcloA_DkCzLmlx9l8OHCpJxV9tZyX-jT9QajpMECfCl-t12eeHGJUmSA,zycY3OEdPAOTu-63FaZ4_6gpvPX-Rnez5dzuTsCqEgWB2A,ViTiiNZiKa,ViTiiNZiKa,BR01
ZeWktrpeVkV7C2leCy7_41o2pAcj5ZH5R-FkBQe5-ZNx4M_k5pL0r8SQf-daDNKQeeqYFVWZF0k6lQ,OfGyxstxTQmoTATmgtnxzQionL50ejeWQ-XA-dudh1LJqQ,Andrew Huberman,zaraki,0611
_8bwj2ewgIbHHpqx2l2YJGoJ0mxNJ7cFwwjRp1bR_Z24vTHzxT2n_AubbCWBpQu6YU3LFlNR57y8-A,_114nQq4yuB6VOiP3EaH1WaN-ToWgW2vl8xCAumL-1-WRlA,Sïmon Petrikov,Itoshi Sae 10,Gênio
1uIMkbWlu_d8uRYGMMqsGxU53GBg_SRXV0YUmYy3p3vu5lDpAXn2SdDwLcCPr2upY2UIN98tVd8XBw,SwG7SxuAH-N_QZ3RMoWKdyVoNlNyVJAPDFrm5TNMfPPd0sI,tomiLeeInsec,itshumiii,nerd
O1MQ4zZhVQNuW_IyyTNDCGXdmugu1_BKxHeKd65D3ynHTR-MLmSmXeK6GwoHNFsR1QRO-9PW7FbrfQ,jukNWd_4-PpiLGWYnWN47baN-RO_Hje07fSa7OkDj1hBCMo,barinho,barinhoッ,adele
9lv6qM10pTbey5A_dFJeRxn1dfz8XnpTU3lqRmMtvrnZACcQXLEO6keSHvO0_dx2vgW7wE9-1ZYmtw,PY2gVy4-K1MEnU19rjbVhwprkprgtEc72mFoBNy6Rdkw91WvnGRrd6xAxg,Pigzinhos,Pigzinhos,BR1
fa2PfEz4TC5F2OGqAbUerK2ES2fl4O3q8jy4AQ88fmtINBAxlOTrwz9W0Ln0NpELa522sfLFv5is3g,Pawm2yckkOxu9YpQ1yLl6EsiP7RiJRwLJFo3De5zHiBgSPNOVLp0XAJA1w,Samkz,Samkz,KZ02
yHX8APk8XYNfz8hoxp7eui64zOphE6jF6kTohOC7ZKtkgIN1YinSWIUlm-a0yHuCy7d1LBKci0FjfA,ReDNYIthuuV8qAGOgob-X7X_pbTp1g92GohpsIvKBd3A5Q,BELLIGHAM 05,BELLIGHAM 05,BR1
XiWtIOtmoeVcZe459Gf1SdtBm5cuMRQ5BpXr438xd1Vfbaxp_PxMdTYwaZ3gX_t760gFOUNAYGdOGw,qvZ8Qw4nnQ7n9d1W-jfLLKT3o2Wahx_8901ubGoY7z6URQ,repri,repri,鴉巣生鳳
iat-TckjS5JV3PLly5JQGVzbqMoCeGiyXH_bbOpLy0zMVI_M033-gxCQxjCpWaeKguqPPftRBVbLUw,H9sIIUEhrwuqNM6WQRcri3zMMNM0jAVQpvARmxdGAlXEXw,meloso,meloso,BR1
