matchId,puuid,participantId,teamId,championId,lane,role,individualPosition,teamPosition,timePlayed,championName,championTransform,champExperience,champLevel,win,kills,firstBloodKill,firstBloodAssist,deaths,totalTimeSpentDead,longestTimeSpentLiving,assists,killingSprees,largestKillingSpree,doubleKills,tripleKills,quadraKills,pentaKills,largestMultiKill,unrealKills,baronKills,dragonKills,turretKills,firstTowerKill,firstTowerAssist,turretTakedowns,turretsLost,inhibitorKills,inhibitorTakedowns,inhibitorsLost,nexusKills,nexusTakedowns,nexusLost,objectivesStolen,objectivesStolenAssists,totalMinionsKilled,neutralMinionsKilled,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,goldEarned,goldSpent,bountyLevel,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,consumablesPurchased,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,totalDamageDealt,totalDamageDealtToChampions,largestCriticalStrike,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalUnitsHealed,timeCCingOthers,totalTimeCCDealt,detectorWardsPlaced,sightWardsBoughtInGame,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,gameEndedInEarlySurrender,gameEndedInSurrender,teamEarlySurrendered,placement,eligibleForProgression,subteamPlacement,playerSubteamId
BR1_2858754568,fPT2sQf2nhSR0OKFvic42p-Al2SgV9VBVq44YbhhScvamc-epxXML0hpgJOgWtufymIolawwSi9aXg,6,200,54,MIDDLE,DUO,TOP,TOP,1632,Malphite,0,14605,15,True,5,False,False,7,170,303,3,2,2,0,0,0,0,1,0,0,0,4,False,False,5,3,0,0,0,0,1,0,0,0,162,0,0,0,10965,10785,0,3110,1029,8001,3047,6662,0,3363,26,3,37,91,59,11,3,4,4,12,7652,12735,7652,43148,42963,7376,9428,80649,9721,11603,7203,83,1311,130816,17181,0,0,22343,2218,0,1,26,1503,1,0,17,1,1,9,False,False,False,0,True,0,0
BR1_2858754568,k6VBqZiVK0qqUJJkFxHKI9il4doB8sA-gtG4XfQV6Zs6qjUNFUI-9bDwitd42kGAbk7DQSXACGgcpA,7,200,59,JUNGLE,NONE,JUNGLE,JUNGLE,1632,JarvanIV,0,13901,15,True,6,False,False,4,56,470,10,2,3,1,0,0,0,2,0,1,2,0,False,False,3,3,0,2,0,0,1,0,0,0,28,156,108,10,11923,11400,2,3047,6630,2055,3161,3156,1036,3364,25,8,128,89,122,8,5,4,21,11,1481,30365,1481,32364,13954,986,6932,147387,7806,17643,41500,858,464,202840,9651,0,0,25040,13856,0,1,10,485,5,0,24,7,1,6,False,False,False,0,True,0,0
BR1_2858754568,3HAgEvKZTyteVg3q1bSfMqH0XlluQ6EV8cyGPXrIYtrVEFjNAg837dSqFLyp7st9gO06lELi9r1bSQ,8,200,7,MIDDLE,DUO,MIDDLE,MIDDLE,1632,Leblanc,0,14019,15,True,4,False,False,6,232,856,6,1,2,0,0,0,0,1,0,0,0,4,False,False,4,3,1,1,0,0,0,0,0,0,192,0,0,0,12608,11633,1,3087,3181,3158,3078,2015,1036,3364,25,2,92,117,23,29,3,4,4,12,6779,8232,6779,12207,50871,7585,5347,54827,10441,17954,4709,150,1359,110409,18177,485,0,24660,5609,0,1,25,55,2,0,21,2,6,3,False,False,False,0,True,0,0
BR1_2858754568,TV5WSkrLDHzih-C-aHb_DUfvSFHAnTz5jvQm3g2gytvawt5wuJEVXgPdjwG92JqTeS4rHM7_cpVB-A,9,200,30,BOTTOM,SOLO,BOTTOM,BOTTOM,1632,Karthus,0,14038,15,True,12,False,False,8,219,304,12,4,3,3,0,0,0,2,0,0,0,1,False,False,1,3,0,2,0,0,1,0,0,0,204,4,0,4,14509,13800,2,3020,6653,4630,4645,3089,1026,3363,21,4,413,23,123,8,4,4,5,3,2879,24961,2879,9846,177777,34064,6576,3971,594,15244,5351,859,824,187100,35517,0,0,22645,1988,0,1,12,188,0,0,4,0,0,5,False,False,False,0,True,0,0
BR1_2858754568,xTxS7szCysePQJutshbF5NrZsXOBNebYJ-wsJ2aOBvvvjPPk_OuQnnXtWRpVEJyy8xgBsklRHQ2X-w,10,200,235,MIDDLE,SUPPORT,UTILITY,UTILITY,1632,Senna,0,10523,13,True,7,False,False,7,125,511,16,2,2,0,0,0,0,1,0,0,2,2,True,False,6,3,2,2,0,1,1,0,0,0,37,8,0,0,11598,10950,2,3864,3142,3140,4643,3009,3179,3364,27,10,66,33,21,8,5,7,4,4,7673,17457,7673,5583,0,0,3673,56942,17526,7806,418,243,411,57361,17770,510,1685,11890,9121,5248,5,14,138,4,0,57,4,14,24,False,False,False,0,True,0,0
BR1_2860006871,YrJhsDK39M1xcneBYMZuSNBBagzNt7Y1GJ7sBhInocbdcOrQFoqt77E_zoTaA4GhSZuGmPjPI3kodg,1,100,246,TOP,SOLO,TOP,TOP,1647,Qiyana,0,11381,13,False,1,False,False,10,273,387,2,0,0,0,0,0,0,1,0,0,0,1,False,False,1,4,0,0,1,0,0,0,0,0,180,0,0,0,10286,9400,0,1055,3070,3133,6692,6694,3158,3364,18,1,140,147,52,9,6,4,5,12,2218,2218,2218,15569,14526,2792,3777,108630,18362,16680,1261,1261,4134,124418,22416,0,0,24591,2500,0,1,20,98,0,0,10,0,1,2,False,True,False,0,True,0,0
BR1_2860006871,XO7fUKkVWwGQ5jCRSpTLwcYkNFBKZACO0OWNpM0LqlZq_8PTd6sjcsvBIlTDeq6PJNFRwYlYYFZA-g,2,100,104,JUNGLE,NONE,JUNGLE,JUNGLE,1647,Graves,0,10800,13,False,4,True,False,8,182,544,11,0,0,0,0,0,0,1,0,0,2,0,False,False,1,4,0,0,1,0,0,0,0,0,16,139,102,12,10047,9600,0,6676,3142,3035,3047,1018,0,3364,21,3,88,22,42,12,18,11,5,4,557,12886,557,15423,599,479,6633,156167,12185,16672,28602,1813,2075,185369,14478,408,0,25381,9916,0,1,25,391,2,0,24,2,3,5,False,True,False,0,True,0,0
BR1_2860006871,CMfa4QaWnU9nREMIepcqinlTvX96nvHLApkHJCenuiuN7r8h6z-vncB2IvsKG0xdSYxxdcQpgtpqjw,3,100,84,MIDDLE,SOLO,MIDDLE,MIDDLE,1647,Akali,0,12859,14,False,11,False,False,4,130,1129,2,1,9,2,1,0,0,3,0,0,0,2,False,False,2,4,0,0,1,0,0,0,0,0,191,0,0,0,12181,11785,0,3157,3152,1052,4645,3020,0,3364,32,11,137,29,76,18,4,12,3,4,4271,11251,4271,13453,100950,17771,5513,15546,901,15044,5777,0,1463,122274,18673,0,0,22022,4062,0,1,2,82,6,0,26,6,1,10,False,True,False,0,True,0,0
BR1_2860006871,IeA6BIUZhai3CoIk47nWP4SA75YkLSipjI9n4gNB41nkFEe0_2g0mUgpVnuesnJGhHa0p6HZeJ9qMQ,4,100,67,BOTTOM,CARRY,BOTTOM,BOTTOM,1647,Vayne,0,10441,13,False,4,False,False,5,129,548,9,1,2,0,0,0,0,1,0,0,0,0,False,False,1,4,0,0,1,0,0,0,0,0,182,0,0,0,10835,9833,0,1055,6672,1037,3078,3006,1053,3363,23,4,139,0,19,10,4,4,5,1,3507,4955,3507,9964,1160,156,7627,85169,13161,12349,8652,3408,1055,94982,16725,401,0,21031,5593,0,1,10,17,1,0,22,1,6,9,False,True,False,0,True,0,0
BR1_2860006871,gjS_aWpGXg6S9VBJm8i3rpbm5gtMceD8Nx1FnfWt7_thYoKxFYBWGJqXd_6o8-Jwjz5i6tc5cx4GxQ,5,100,910,BOTTOM,SUPPORT,UTILITY,UTILITY,1647,Hwei,0,8883,12,False,2,False,False,6,197,1035,15,1,2,0,0,0,0,1,0,0,0,1,False,False,1,4,0,0,1,0,0,0,0,0,28,0,0,0,7508,7125,0,6653,3145,3853,3108,3158,0,3364,22,9,76,66,43,7,6,7,3,4,987,3810,987,7063,45672,17456,5159,4433,1046,10932,1865,27,273,51972,18531,0,546,16365,2621,443,3,29,321,5,0,64,5,3,26,False,True,False,0,True,0,0
